evaluation_id,run_id,arm_id,episode_index,step_index,source_state,action_id,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,0,"beat0:pitches(60, 64, 67)",62,"(0, 0, 0)",1.5999999999999999,"beat1:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,1,"beat1:pitches(60, 64, 67)",64,"(0, 0, 2)",1.461111111111111,"beat2:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,2,"beat2:pitches(60, 64, 69)",117,"(2, 1, 0)",1.4361111111111111,"beat3:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,3,"beat3:pitches(62, 65, 69)",62,"(0, 0, 0)",1.7111111111111112,"beat0:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,4,"beat0:pitches(62, 65, 69)",74,"(0, 2, 2)",1.3555555555555554,"beat1:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,5,"beat1:pitches(62, 67, 71)",62,"(0, 0, 0)",1.5888888888888888,"beat2:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,6,"beat2:pitches(62, 67, 71)",23,"(-2, 2, 1)",1.3416666666666666,"beat3:pitches(60, 69, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,0,7,"beat3:pitches(60, 69, 72)",62,"(0, 0, 0)",2.6333333333333333,"beat0:pitches(60, 69, 72)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,0,"beat0:pitches(60, 64, 67)",62,"(0, 0, 0)",1.5999999999999999,"beat1:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,1,"beat1:pitches(60, 64, 67)",64,"(0, 0, 2)",1.461111111111111,"beat2:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,2,"beat2:pitches(60, 64, 69)",117,"(2, 1, 0)",1.4361111111111111,"beat3:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,3,"beat3:pitches(62, 65, 69)",62,"(0, 0, 0)",1.7111111111111112,"beat0:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,4,"beat0:pitches(62, 65, 69)",11,"(-2, 0, -1)",1.4249999999999998,"beat1:pitches(60, 65, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,5,"beat1:pitches(60, 65, 68)",52,"(0, -2, 0)",1.461111111111111,"beat2:pitches(60, 63, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,6,"beat2:pitches(60, 63, 68)",67,"(0, 1, 0)",1.5305555555555554,"beat3:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,1,7,"beat3:pitches(60, 64, 68)",68,"(0, 1, 1)",2.572222222222222,"beat0:pitches(60, 65, 69)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,0,"beat0:pitches(60, 63, 67)",74,"(0, 2, 2)",1.3555555555555554,"beat1:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,1,"beat1:pitches(60, 65, 69)",113,"(2, 0, 1)",1.4249999999999998,"beat2:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,2,"beat2:pitches(62, 65, 70)",67,"(0, 1, 0)",1.5527777777777778,"beat3:pitches(62, 66, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,3,"beat3:pitches(62, 66, 70)",119,"(2, 1, 2)",1.4083333333333332,"beat0:pitches(64, 67, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,4,"beat0:pitches(64, 67, 72)",5,"(-2, -1, -2)",1.3194444444444444,"beat1:pitches(62, 66, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,5,"beat1:pitches(62, 66, 70)",56,"(0, -1, -1)",1.4944444444444445,"beat2:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,6,"beat2:pitches(62, 65, 69)",63,"(0, 0, 1)",1.5416666666666665,"beat3:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,2,7,"beat3:pitches(62, 65, 70)",73,"(0, 2, 1)",2.513888888888889,"beat0:pitches(62, 67, 71)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,0,"beat0:pitches(62, 66, 69)",58,"(0, -1, 1)",1.5833333333333333,"beat1:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,1,"beat1:pitches(62, 65, 70)",62,"(0, 0, 0)",1.5999999999999999,"beat2:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,2,"beat2:pitches(62, 65, 70)",123,"(2, 2, 1)",1.3194444444444444,"beat3:pitches(64, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,3,"beat3:pitches(64, 67, 71)",1,"(-2, -2, -1)",1.4083333333333332,"beat0:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,4,"beat0:pitches(62, 65, 70)",73,"(0, 2, 1)",1.4138888888888888,"beat1:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,5,"beat1:pitches(62, 67, 71)",117,"(2, 1, 0)",1.4249999999999998,"beat2:pitches(64, 68, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,6,"beat2:pitches(64, 68, 71)",58,"(0, -1, 1)",1.5833333333333333,"beat3:pitches(64, 67, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,3,7,"beat3:pitches(64, 67, 72)",5,"(-2, -1, -2)",2.4194444444444443,"beat0:pitches(62, 66, 70)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,0,"beat0:pitches(60, 64, 67)",62,"(0, 0, 0)",1.5999999999999999,"beat1:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,1,"beat1:pitches(60, 64, 67)",64,"(0, 0, 2)",1.461111111111111,"beat2:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,2,"beat2:pitches(60, 64, 69)",117,"(2, 1, 0)",1.4361111111111111,"beat3:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,3,"beat3:pitches(62, 65, 69)",62,"(0, 0, 0)",1.7111111111111112,"beat0:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,4,"beat0:pitches(62, 65, 69)",74,"(0, 2, 2)",1.3555555555555554,"beat1:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,5,"beat1:pitches(62, 67, 71)",62,"(0, 0, 0)",1.5888888888888888,"beat2:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,6,"beat2:pitches(62, 67, 71)",23,"(-2, 2, 1)",1.3416666666666666,"beat3:pitches(60, 69, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,4,7,"beat3:pitches(60, 69, 72)",62,"(0, 0, 0)",2.6333333333333333,"beat0:pitches(60, 69, 72)",True,False,,
